租車單位,名稱,地址,電話,營業時間
和運,台北濱江站,"台北市中山區松江路557號(近民族東路-建國北路口,北上閘道旁)--松山機場旅客免費接駁服務",02-2516-3816,   /    /   
和運,台北大安站,台北市大安區辛亥路2段111號1樓(近建國高架橋),02-2377-6600,   /    /   
和運,台北士林站,台北市士林區承德路4段237號(近士商路口),02-2880-7766,   /    /   
和運,台北忠孝站,台北市南港區忠孝東路六段135號(近忠孝醫院),02-2651-7766,   /    /   
和運,台北總站,台北市中正區北平西路3號1樓(北二門進入靠左處),02-2375-6000,  07:00～23:00
和運,台北內湖站,台北市內湖區成功路三段96號(近捷運文德站),02-2793-9111,   /    /   
和運,台北新店站,新北市新店區北新路一段317號(近捷運新店市公所站),02-8914-5500,   /    /   
和運,台北中和站,新北市中和區連城路160-1號(近板南路口),02-2248-7999,   /    /   
和運,台北土城站,新北市土城區金城路一段2號(距捷運永寧站350公尺處),02-2268-6006,   /    /   
和運,台北蘆洲站,新北市三重區集賢路111號(距離家樂福蘆洲店500公尺處),02-2857-8191,   /    /   
和運,新莊中正站,新北市新莊區化成路2號(近小北百貨),02-2990-6655,   /    /   
和運,台北板橋站,新北市板橋區縣民大道二段198號(距板橋車站250公尺處),02-2956-7766,   /    /   
和運,台北永和站,新北市永和區光復街4號,02-2231-1038,   /    /   
和運,台北樹林站,新北市樹林區保安街一段276號近家樂福樹林店,02-8675-3255,   /    /   
和運,桃園平鎮站,桃園市平鎮區環南路167號(距中壢交流道約1公里處),03-491-6688,   /    /   
和運,桃園南崁站,桃園市蘆竹區中正路93號(距南祥火車站600公尺處),03-321-5500,   /    /   
和運,桃園中山站,桃園市桃園區中山路476號(桃園縣政府旁),03-332-5500,   /    /   
和運,桃園中壢站,桃園市中壢區中華路二段66號(2016/1/20搬遷至新址),03-452-3030,   /    /   
和運,桃園高鐵站,桃園市中壢區高鐵北路一段6號(桃園高鐵站內),03-263-0011,  08:00～21:30
和運,桃園大園站,桃園市大園區中正東路396號(大園交流道下大園出口)--桃園機場免費接駁服務,03-385-0850,  07:00～21:30
和運,新竹站,新竹市新竹市中華路二段83號(近北新竹火車站),03-542-7755,   /    /   
和運,新竹高鐵站,新竹縣竹北市高鐵七路6號(新竹高鐵站內),03-610-5599,  08:00～21:30
和運,苗栗高鐵站,苗栗縣後龍鎮高鐵三路268號,037-248156,  08:00~21:30
和運,台中建國站,台中市中區建國路152號(台中火車站出口左側100公尺),04-2227-5500,   /    /   
和運,台中太平站,台中市太平區中山路三段83號鄰近勤益科大,04- 2273-1768,   /    /   
和運,台中文心站,台中市北屯區文心路四段770號(距家樂福崇德店900公尺處),04-2234-8666,   /    /   
和運,台中中港站,"台中市西屯區台灣大道二段901號(舊址台中港路二段65號，愛買吉安中港店旁,步行1分鐘)",04-2328-7000,   /    /   
和運,台中高鐵站,台中市烏日區站區二路8號(台中高鐵站內),04-3609-1166,  07:00～23:00
和運,台中機場站,台中市沙鹿區中航路一段211號,04-2615-0238,   /    /   
和運,彰化中正站,彰化縣彰化市中正路二段5號,04-722-1511,   /    /   
和運,彰化高鐵站,彰化縣田中鎮站區路二段99號,04-7007002,  08:00~21:30
和運,雲林高鐵站,雲林縣虎尾鎮站前東路301號,05-7005052,  08:00~21:30
和運,嘉義博愛站,嘉義市嘉義市博愛路二段228號(於嘉義火車站後方),05-233-5566,   /    /   
和運,嘉義高鐵站,嘉義縣太保市高鐵西路168號(嘉義高鐵站內),05-310-3555,  07:00～23:00
和運,台南成功站,台南市中西區成功路21號(距台南火車站步行約1分鐘),06-221-2988,   /    /   
和運,台南中華站,台南市南區中華東路三段228號(近崇德路口),06-267-9911,   /    /   
和運,台南中正站,台南市永康區中正南路380號(近正南二街口),06-254-2288,   /    /   
和運,台南高鐵站,台南市歸仁區歸仁大道100號(台南高鐵站內),06-602-5599,  07:00～23:00
和運,高雄中正站,高雄市新興區中正三路20號(距捷運信義國小站100公尺),07-235-7399,   /    /   
和運,高雄中華站,高雄市前鎮區中華五路1426號,07-537-0298,   /    /   
和運,高雄博愛站,高雄市三民區博愛一路6號(高雄火車站後站出口30公尺處),07-321-2222,   /    /   
和運,小港機場站,高雄市小港區中山四路2號(高雄小港機場內),07-807-0333,   /    /   
和運,左營高鐵站,高雄市左營區高鐵路105號(左營高鐵站內),07-963-0011,  07:00～23:00
和運,高雄民族站,高雄市左營區民族一路1205-1號(距捷運左營站1.5公里處),07-350-1199,   /    /   
和運,高雄鳳山站,高雄市鳳山區建國路三段260號(近青年路二段口),07-777-1668,   /    /   
和運,台東站,台東縣台東市新站路106巷16號(中華電信大樓旁)--台東機場免費接駁服務,089-224-000,   /    /   
和運,花蓮站,花蓮縣花蓮市國聯一路69號(距花蓮火車站出口240公尺處)--花蓮機場免費接駁服務,03-831-5500,   /    /   
和運,羅東站,宜蘭縣羅東鎮光榮路269-5號(羅東火車站後站),03-956-1368,   /    /   
和運,iRent建國長春站,台北市中山區建國北路二段11巷1號(無人短租站),02-25046290,  00:00~24:00
和運,iRent台北濱江,"台北市中山區松江路557號(近民族東路-建國北路口,北上閘道旁)(無人短租站)",02-2516-3816,  00:00~24:00
和運,iRent北投光明路站,台北市北投區光明路133號(無人短租站),02-2880-7766,  00:00~24:00
和運,iRent 捷運石牌站,台北市北投區石牌路一段188號(iRent無人短租站),02-2880-7766,  00:00~24:00
和運,iRent華視站,台北市松山區台北市光復南路96巷25號(無人短租站),02-2651-7766,  00:00~24:00
和運,iRent捷運小巨蛋站,台北市松山區南京東路4段13巷(無人短租站),02-2516-3816,  00:00~24:00
和運,iRent捷運小南門站,台北市中正區愛國西路48巷旁空地(無人短租站),02-2516-3816,  00:00~24:00
和運,iRent台北轉運站,台北市大同區承德路一段8號(無人短租站),02-2375-6000,  00:00~24:00
和運,iRent捷運民權西路站,台北市大同區民權西路96巷19號旁(無人短租站),02-2516-3816,  00:00~24:00
和運,iRent捷運西湖站,台北市內湖區內湖路一段118號旁(無人短租站),02-2793-9111,  00:00~24:00
和運,iRent捷運葫洲站,台北市內湖區成功路5段462號(無人短租站),02-2793-9111,  00:00~24:00
和運,iRent台北台大站,台北市大安區羅斯福路四段85號旁停車場(羅斯福路側/基隆路側均有車輛)(無人短租站),02-23776600,  00:00~24:00
和運,iRent捷運忠孝新生站,台北市大安區忠孝東路2段與臨沂街口(無人短租站),02-2375-6000,  00:00~24:00
和運,iRent台北101站,台北市信義區台北市松智路與莊敬路391巷11弄路口(無人短租站),02-2651-7766,  00:00~24:00
和運,iRent捷運後山埤站,台北市信義區中坡北路15巷8號(iRent無人短租站),02-2651-7766,  00:00~23:59
和運,iRent士林官邸站,台北市士林區福林路100巷(無人短租站),02-2880-7766,  00:00~24:00
和運,iRent南港園區,台北市南港區三重路19-10號B1(無人短租站),02-26517766,  00:00~24:00
和運,iRent三重重新橋站,新北市三重區重新路四段101號旁(無人短租站),02-2990-6655,  00:00~24:00
和運,iRent輔大站,新北市新莊區中正路621號旁停車場(無人短租站),02-8201-5533,  00:00~24:00
和運,iRent新莊頭前國中站,新北市新莊區昌德街與福壽街交岔口(無人短租站),02-2990-6655,  00:00~23:59
和運,iRent淡水真理大學站,新北市淡水區新民街120巷46號旁(無人短租站),02-2880-7766,  00:00~23:59
和運,iRent板橋中山路站,新北市板橋區中山路一段279號(無人短租站),02-2956-7766,  00:00~24:00
和運,iRent汐止國泰醫院站,新北市汐止區建成路59巷巷底,02-27939111,  00:00~24:00
和運,iRent三峽台北大學站,新北市三峽區大德路181號對面(無人短租站),02-2268-6006,  00:00~23:59
和運,iRent 蘆洲和平路站,新北市蘆洲區和平路16號(無人短租站),02-2857-8191,  00:00~24:00
和運,iRent龜山文化站,桃園市龜山區文化三路與興華二街交叉口(無人短租站),03-321-5500,  00:00~24:00
和運,iRent桃園中埔六街站,桃園市桃園區中埔六街123號旁停車場(無人短租站),03-3325500,  00:00~24:00
和運,iRent新竹科學園區站,新竹市新竹市東區力行三路一號(停車場入口於力行路上)(無人短租站),03-542-7755,  00:00~24:00
和運,iRent台中中港,台中市西屯區台灣大道二段901號(無人短租站),04-2328-7000,  00:00~24:00
和運,iRent逢甲站,台中市西屯區福星北一街(無人短租站),04-3609-1166,  00:00~23:59
和運,iRent水社站,南投縣魚池鄉日月潭中興停車場電動車無人短租站(限行駛日月潭環湖公路),049-285-5096,  00:00~24:00
和運,iRent台南中正,台南市永康區中正南路380號(近正南二街口)(iRent無人短租站),06-254-2288,  00:00~24:00
和運,iRent高雄中正,高雄市新興區中正三路20號(距捷運信義國小站100公尺)(iRent無人短租站),07-235-7399,  00:00~24:00
和運,iRent高雄美術館,高雄市鼓山區美術東四路與美術北五街交叉路口旁停車場(無人短租站),07-346-1515,  00:00~24:00
和運,iRent翰品酒店花蓮站,花蓮縣花蓮市永興路2號(無人短租站),03-831-5500,  00:00~24:00
和運,iRent 羅東轉運站,宜蘭縣羅東鎮站前路13號(iRent無人據點),039-561-368,  00:00~23:59
和運,iRent礁溪火車站,宜蘭縣礁溪鄉溫泉路5號(iRent無人短租站),039-561-368,  00:00~23:59
和運,iRent 礁溪轉運站,宜蘭縣礁溪鄉礁溪路六段17號(iRent無人據點),039-561-368,  00:00~23:59
和運,iRent 宜蘭轉運站,宜蘭縣宜蘭市校舍路190號(iRent無人據點),039-561-368,  00:00~23:59
中租,台北松山站,台北市信義區市民大道六段250號           (松山火車站西側出口),02-2767-6392,08:30-20:30
中租,台北公館站,台北市文山區羅斯福路五段57號(捷運萬隆站3號出口右轉400公尺),02-8663-8065,08:30-20:30
中租,台北大橋站,台北市大同區重慶北路三段31號(捷運大橋頭站3號出口),02-2586-6377,08:30-20:30
中租,新北三重站,新北市三重區三和路三段64號(捷運三重國小站),02-8982-8566,08:30-20:30
中租,新北板橋站,新北市板橋區板新路189號(縣民大道二段與板新路交叉口150公尺),02-2959-0158,08:30-20:30
中租,新北新店站,新北市新店區北新路一段347號(捷運新店區公所站),02-2916-1300,08:30-20:30
中租,桃園高鐵站,桃園市中壢區高鐵北路一段6號(桃園高鐵站內),03-262-1508,08:00~21:30
中租,桃園中山站,桃園市桃園區中山路423號(桃園縣政府右前方),03-331-8277,08:30-20:30 
中租,中壢中華站,桃園市中壢區中華路二段45號(中壢工業區，YAMAHA旁),03-463-5707,08:30-20:30
中租,新竹中華站,新竹市東區中華路二段279號(新竹女中正對面),03-532-9950,08:30-20:30
中租,苗栗高鐵站,苗栗縣後龍鎮高鐵三路268號(苗栗高鐵站內),037-247-800,08:00~21:30
中租,台中高鐵站,台中市烏日區站區二路8號(台中高鐵站內),04-3600-5058,08:00~21:30
中租,台中中港站,台中市西屯區臺灣大道二段806號(原門牌：台中市西屯區中港路二段26號),04-2316-0556,08:30-20:30
中租,台中綠川站,台中市中區綠川東街34號(台中火車站前宮原眼科左側),04-2229-9186,08:30-20:30
中租,彰化高鐵站,彰化縣田中鎮站區路二段99號(彰化高鐵站內),04-700-6700,08:00~21:30
中租,雲林高鐵站,雲林縣虎尾鎮站前東路301號(雲林高鐵站內),05-700-3330,08:00~21:30
中租,嘉義高鐵站,嘉義縣太保市高鐵西路168號(嘉義高鐵站內),05-310-8889,08:00~21:30
中租,台南高鐵站,台南市歸仁區歸仁大道100號(台南高鐵站內),06-600-9751,08:00~21:30
中租,台南北門站,台南市北區北門路二段101號(台南火車站前站右側150公尺),06-225-1158,08:30-20:30
中租,左營高鐵站,高雄市左營區高鐵路105號(左營高鐵站內),07-862-9500,08:00~21:30
中租,高雄九如站,高雄市三民區九如二路382號(高雄火車站後站對面),07-311-2611,08:30-20:30
中租,高雄航空站,高雄市小港區中山四路2號(小港機場租車中心),07-801-5665,08:00-22:00
中租,花蓮站,花蓮縣花蓮市國聯一路41號(花蓮火車站左前方),03-831-3532,08:30-20:30
中租,台東站,台東縣台東市新站路247號(台東火車站右前方),089-228-155,08:30-20:30
